"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","d5907b31-ce36-7334-168a-45b235153f97_142531_4.png",4625962,730159,5249,3261282,0.739062767729724,0.586121774197329,0.998866603141165,0.586511841145018,0.621168638140563,0.739062767729724,0.992862465461349,0.182931176985956,0.00113339685883455,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","72dd2011-1bd9-ce93-f9e1-07f6077d720d_154913_1.png",3522048,3191094,550606,41974,0.922403412165188,0.855982120376374,0.864804130181449,0.988222856087869,0.91888823582392,0.922403412165188,0.852846032552048,0.98701728512979,0.135195869818551,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","d453b2d1-a9e4-4e23-336a-b459202a3483_134957_3.png",9549262,4119340,796,66662,0.996480326445052,0.992985342195676,0.999916649720871,0.993067540883227,0.995088984759822,0.996480326445053,0.999806802493898,0.984075019553263,8.33502791291948e-05,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7113876b-cb4d-9a5f-bbe7-a494ab48a133_145721_1.png",5955430,2765188,147454,48641,0.983803111517306,0.968122538720073,0.975838636290645,0.991898663423534,0.978008151658576,0.983803111517305,0.949374485432813,0.982713590626865,0.0241613637093545,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7dc61ab2-e077-871e-9c20-3a759a62a842_155215_1.png",0,4781001,17399,0,0,0,0,NA,0.996373999666555,NA,0.996373999666555,1,1,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6ea845c8-2c0d-1181-8621-d91147212828_165222_2.png",6247730,2902439,43002,31492,0.994073645774678,0.988217121063727,0.993164229536404,0.994984728999867,0.991924474639345,0.994073645774678,0.985400488415826,0.989266277904968,0.00683577046359629,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f6e1dfa1-5106-6910-1781-639e714c1d19_164025_1.png",8201789,353464,32243,1582166,0.910400146253852,0.83553622288385,0.996084178443805,0.838289730482203,0.841252442804884,0.910400146253852,0.916405458029022,0.182609279666052,0.00391582155619507,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","bc67e5a0-18d9-7e77-9e7c-31a2ad635848_162418_2.png",3008074,707871,37629,48781,0.985840363991624,0.972076119960549,0.987645216884246,0.984042095552455,0.977274610077176,0.985840363991624,0.949525150905433,0.935530468431987,0.0123547831157536,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","63515737-df00-8806-b37c-2eeed3f51d2f_160144_1.png",6915284,13403085,261351,66706,0.976829882845262,0.95470915976481,0.963583072010768,0.99044599032654,0.984110712430326,0.976829882845262,0.980873634301482,0.995047733108851,0.0364169279892317,0.9,0.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6f9bf85b-ed1d-2e4e-f36d-d84bb6bb652f_152546_2.png",2504359,1590124,104152,62611,0.96777826060998,0.937568182958322,0.960072240446753,0.97560898647043,0.960865202337532,0.96777826060998,0.938527134894197,0.962116733777647,0.039927759553247,0.9,0.75,"Colon","GrandQC"
