Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,0584763b-507d-517f-59c7-4dbcdbe7ec5e_135202_2.png,16991723,1475824,74754,160460,0.9931261481308736,0.9863461507986011,0.9956198341344848,0.9906449225734124,0.9874235681031266,0.9931261481308736,0.9517895907203636,0.9019363386795936,0.004380165865515185,0.25,0.75
HistoKit (no postprocessing),gaussian,dad7b6f2-9f0b-8c2a-a00e-ff89c406e2d2_171435_3.png,5721368,591085,25766,368827,0.9666653685134543,0.9354814394663407,0.995516721899994,0.9394392133585213,0.9411673932160298,0.9666653685134543,0.9582297832053446,0.6157699872488311,0.00448327810000602,0.25,0.75
HistoKit (no postprocessing),gaussian,1d49a2ac-7490-df96-fb85-41e83b5a5b35_151838_1.png,0,6049083,186617,0,0.0,0.0,0.0,,0.9700728065814583,,0.9700728065814583,1.0,1.0,0.25,0.75
HistoKit (no postprocessing),gaussian,7a951edf-c71d-16ea-3e52-69a0dd7b54e1_133148_5.png,5748538,2905747,55,437505,0.963336963104698,0.9292672052722087,0.9999904324414687,0.92927546737066,0.95187335463814,0.9633369631046979,0.99998107235111,0.8691378932847419,9.567558531278871e-06,0.25,0.75
HistoKit (no postprocessing),gaussian,3c8a2c44-1287-eab9-5fb8-1902a0075b0d_153549_25.png,37435794,2813694,78078,106168,0.9975452141401826,0.9951024507150976,0.9979186899182254,0.9971720178077,0.9954432603231747,0.9975452141401826,0.9729999460538382,0.9636393774774288,0.00208131008177455,0.25,0.75
HistoKit (no postprocessing),gaussian,6c5eefac-6637-5ca1-aed4-decff7ee7c9b_152621_1.png,35002949,360382,374692,236783,0.9913410117932311,0.9828306924183303,0.9894087907104943,0.9932807945304465,0.9830026880478522,0.9913410117932311,0.4902662861154115,0.6034881481667546,0.010591209289505764,0.25,0.75
HistoKit (no postprocessing),gaussian,7a951edf-c71d-16ea-3e52-69a0dd7b54e1_133148_3.png,8605469,1490992,20,400767,0.977243171807418,0.9554990442199289,0.9999976759019737,0.9555011660809244,0.9618198026759014,0.9772431718074182,0.9999865862917267,0.7881511334160429,2.3240980262713717e-06,0.25,0.75
HistoKit (no postprocessing),gaussian,2f6f5632-66e3-03e5-2957-29197ae74c65_142917_3.png,5401146,642298,5358,73034,0.9927953058833434,0.9856936843945603,0.9990089714166492,0.986658458435784,0.9871946912658228,0.9927953058833433,0.9917270896895883,0.897901953218925,0.0009910285833507199,0.25,0.75
HistoKit (no postprocessing),gaussian,6875bf3f-1b6d-1a53-f365-0d72c060072a_140344_5.png,10298454,461452,29073,1661531,0.9241456830174674,0.8589877536667184,0.9971849020583534,0.8610758291084813,0.8642140763711688,0.9241456830174674,0.9407308495999185,0.21736019553618657,0.0028150979416466304,0.25,0.75
HistoKit (no postprocessing),gaussian,e92b8137-1dab-8f48-a38e-05fbbeabd072_134925_1.png,6181260,31349,23635,171333,0.9844739648566656,0.969422674346024,0.9961909105633536,0.9730294385300616,0.9695722735754873,0.9844739648566656,0.5701476793248945,0.15467086371754768,0.0038090894366463895,0.25,0.75
