"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","constant","d5907b31-ce36-7334-168a-45b235153f97_142531_1.png",7279745,434819,37354,6425137,0.692584109937118,0.529735117341894,0.994894971354084,0.531178962358085,0.544158430647268,0.692584109937118,0.920889165623617,0.0633851004292156,0.00510502864591555,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","9c11305f-9a45-9e5e-ad0d-26ee9868ea85_151624_3.png",12545061,15899822,267170,63217,0.987003131998655,0.974339766662876,0.979147269511454,0.994986071848987,0.988518370114338,0.987003131998655,0.983474353175903,0.996039789165459,0.0208527304885465,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","7bed7bdd-d0af-cb27-b26c-ec8dd758c13d_163729_2.png",4797582,1232941,33511,18966,0.994560639227766,0.989180131623141,0.993063474455988,0.9960623251341,0.991373171132665,0.994560639227766,0.97353946300373,0.984850312363458,0.0069365255440125,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","7dc61ab2-e077-871e-9c20-3a759a62a842_155215_6.png",0,4539540,56009,0,0,0,0,NA,0.987812337546613,NA,0.987812337546613,1,1,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","c5e98930-4076-d787-85df-db76d09df661_150955_2.png",11542081,3093921,99729,26777,0.994549661388462,0.989158413096633,0.991433548563325,0.997685424092853,0.991430588894516,0.994549661388462,0.968772720867972,0.991419547806292,0.00856645143667522,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","f93aef69-f3ba-d018-c3df-4d10344df03f_145423_1.png",6538212,387933,64389,1424367,0.897786639094059,0.814530716953151,0.990247934109603,0.821117379180791,0.823080984553472,0.897786639094059,0.857647870322469,0.214055619930475,0.00975206589039683,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","dacb3a12-7e96-468f-217d-f09682601575_140850_2.png",15029864,581243,1474,452939,0.985108117577355,0.970653263307031,0.999901938204037,0.970745671826994,0.971715014515559,0.985108117577355,0.997470470228258,0.562031634663918,9.80617959625417e-05,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","3ac230b9-44c8-f340-4d1e-154210441df7_162156_1.png",6639852,408359,7798,1079259,0.924335276406422,0.859315413187861,0.99882695388596,0.860183510769569,0.866377235513323,0.924335276406422,0.981261879531042,0.274505282942261,0.0011730461140403,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_3.png",3387964,487560,6451,3804190,0.640049481564802,0.470641742393144,0.998099525249564,0.471063884338405,0.504220765492284,0.640049481564802,0.986941586320952,0.113604007689171,0.00190047475043564,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","dacb3a12-7e96-468f-217d-f09682601575_140850_4.png",3345033,344013,1604,2985760,0.691306059563334,0.528241201554482,0.999520712882813,0.528375039272331,0.552549349126252,0.691306059563334,0.995359024585018,0.103314249950372,0.000479287117186597,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","b4a3ca7b-c417-ed09-85e0-46323c53f954_140543_3.png",31051756,1370373,84222,60695,0.997671957311565,0.995354729012289,0.99729502635183,0.99804917330364,0.995550195126693,0.997671957311565,0.942099347240985,0.957587619875506,0.00270497364816997,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","7619a4ca-ed05-1dc2-f55c-d5b01e2c71b2_170239_5.png",4615699,282602,24047,148062,0.981697360357152,0.96405265206959,0.994817173181463,0.968919095647326,0.966056196638931,0.981697360357152,0.92158135196919,0.656200657589211,0.00518282681853705,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","constant","ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_1.png",13023018,238352,21454,1446726,0.946639220975804,0.898684705018867,0.998355318636124,0.900017166855198,0.900324178267496,0.946639220975804,0.91742300023864,0.141448645107229,0.00164468136387582,0.75,NA,"Colon","GrandQC"
